Nepali,English
"नमस्ते, साथीहरू! आज हामी भोजपुर जिल्लाको यात्रामा निस्किएका छौं।","Hello, friends! Today, we are embarking on a journey to Bhojpur District."
"यो जिल्ला नेपालको प्रदेश नम्बर १ मा अवस्थित छ, र यसको आफ्नै विशेष महत्त्व छ।","This district is located in Province No. 1 of Nepal, and it holds its own special significance."
भोजपुरको प्राकृतिक सौन्दर्यले हामीलाई सुरु देखि नै लोभ्याउँछ।,The natural beauty of Bhojpur is captivating us right from the start.
हामीले यहाँको प्रसिद्ध मठ मन्दिरहरूको भ्रमण गर्न योजना बनाएका छौं।,We plan to visit some of the famous temples here.
पहिलो गन्तव्य: भोजपुरको पुरानो मठ। यहाँको शान्त वातावरणले मेरो मन शान्त पार्छ।,Our first stop an ancient temple in Bhojpur. The peaceful atmosphere here is calming my mind.
मलाई यो मन्दिरको पुरानो इतिहासले धेरै प्रभावित गर्यो।,I am deeply impressed by the rich history of this temple.
भोजपुरको संस्कृति र परम्पराहरू निकै अनौठा छन्।,The culture and traditions of Bhojpur are quite unique.
यहाँका मानिसहरूले आफ्नो भाषा र संस्कृतिलाई धेरै माया गर्छन्।,People here are very proud of their language and culture.
"अब हामी भोजपुर बजारतर्फ जाँदैछौं, जहाँ स्थानीय उत्पादनहरू पाइन्छ।","Now we are heading towards Bhojpur market, where we can find local products."
भोजपुरको बजारमा पाइने हस्थकला वस्तुहरू निकै लोकप्रिय छन्।,Handicrafts from Bhojpur are very popular in this market.
"""कञ्चनपुरका घना जंगलहरू शुक्लाफाँटा वन्यजन्तु आरक्षजस्ता धनी वन्यजन्तुको घर हुन्।""","""Kanchanpur’s dense forests are home to rich wildlife, including the famous Shuklaphanta Wildlife Reserve."""
"""तर दुर्लभ प्रजातिहरूको चोरी शिकारीको बारेमा सुन्दा मन दुख्छ।""","""But it’s heartbreaking to hear about the poaching of endangered species here."""
"""तराईका विशाल मैदानहरू अनन्तसम्म फैलिएका छन्, तिनीहरूको सुन्दरता पत्ता लगाउन निमन्त्रणा गर्छन्।""","""The wide open plains of Terai stretch endlessly, inviting you to explore their beauty."""
"""तर जलवायु परिवर्तनले यी पारिस्थितिक प्रणालीहरूलाई कसरी असर गरिरहेको छ भन्ने सुन्दा दुःख लाग्छ।""","""But it’s upsetting to know that climate change is affecting these ecosystems."""
"""भ्रमदेव मन्दिर आस्थाको केन्द्र हो, जहाँ मानिसहरू आशीर्वाद र शान्तिका लागि आउँछन्।""","""Bhramadev Temple is a center of faith, where people come to seek blessings and peace."""
"""तर यति पवित्र ठाउँको उचित मर्मत सम्भार नहुँदा दुःख लाग्छ।""","""But it’s sad to see the lack of proper maintenance in such a sacred place."""
"""चाडपर्वको समयमा कञ्चनपुर परम्परागत थारू नृत्य र संस्कारहरूले भरिन्छ, संस्कृति को रंगीन प्रदर्शन हुन्छ।""","""During festivals, Kanchanpur comes alive with traditional 'Tharu' dances and rituals, a colorful display of culture."""
"""तर यो अचम्मको कुरा हो कि युवा पुस्ता बिस्तारै यी परम्पराहरूबाट टाढिँदैछ।""","""But it’s shocking to realize that younger generations are slowly distancing themselves from these traditions."""
"""थारू गाउँहरूमा हिँड्दा, तिमीले यहाँका मानिसहरूको भूमिसँगको गहिरो सम्बन्ध महसुस गर्न सक्छौ।""","""Walking through the Tharu villages, you can feel the deep connection the people have with their land."""
"""तर यो चिन्ताको कुरा हो कि आधुनिकताले उनीहरूको परम्परागत जीवनशैलीलाई ओझेल पार्दैछ।""","""But it’s worrying how modernization is starting to overshadow their traditional lifestyle."""
"""धिक्री र बगिया जस्ता स्थानीय परिकारहरूले थारू समुदायको अद्वितीय भोजनको स्वाद दिन्छ।""","""Local food like 'dhikri' and 'bagiya' offers a taste of the Tharu community’s unique cuisine."""
